timestamp,voltage_v,current_a,power_w,total_kwh,is_active
2026-01-30 00:00:00,,,,0.47,False
2026-01-30 00:10:00,,,,0.47,False
2026-01-30 00:20:00,,,,0.47,False
2026-01-30 00:30:00,232.0,0.0,0.0,0.69,False
2026-01-30 00:40:00,232.0,0.0,0.0,0.69,False
2026-01-30 00:50:00,232.0,0.0,0.0,0.69,False
2026-01-30 01:00:00,231.1,1.066,171.7,0.01,False
2026-01-30 01:10:00,231.1,1.066,171.7,0.01,False
2026-01-30 01:20:00,231.1,1.066,171.7,0.01,False
2026-01-30 01:30:00,231.1,1.066,171.7,0.79,False
2026-01-30 01:40:00,229.0,0.0,0.0,0.79,False
2026-01-30 01:50:00,229.0,0.0,0.0,0.79,False
2026-01-30 02:00:00,229.0,0.0,0.0,0.11,False
2026-01-30 02:10:00,227.3,1.064,172.8,0.11,False
2026-01-30 02:20:00,227.3,1.064,172.8,0.11,False
2026-01-30 02:30:00,227.3,1.064,172.8,0.59,False
2026-01-30 02:40:00,227.3,1.064,172.8,0.59,False
2026-01-30 02:50:00,230.2,0.0,0.0,0.59,False
2026-01-30 03:00:00,230.2,0.0,0.0,0.27,False
2026-01-30 03:10:00,230.2,0.0,0.0,0.27,False
2026-01-30 03:20:00,228.5,1.077,175.8,0.27,False
2026-01-30 03:30:00,228.5,1.077,175.8,0.4,False
2026-01-30 03:40:00,228.5,1.077,175.8,0.4,False
2026-01-30 03:50:00,229.8,0.0,0.0,0.4,False
2026-01-30 04:00:00,229.8,0.0,0.0,0.37,False
2026-01-30 04:10:00,229.8,0.0,0.0,0.37,False
2026-01-30 04:20:00,227.7,1.081,177.8,0.37,False
2026-01-30 04:30:00,227.7,1.081,177.8,0.27,False
2026-01-30 04:40:00,227.7,1.081,177.8,0.27,False
2026-01-30 04:50:00,228.5,0.0,0.0,0.27,False
2026-01-30 05:00:00,228.5,0.0,0.0,0.45,False
2026-01-30 05:10:00,228.5,0.0,0.0,0.45,False
2026-01-30 05:20:00,228.5,0.0,0.0,0.45,False
