term,coef,std_err,p_value,ci_lower,ci_upper
power,0.0009993055914572938,6.069144349393543e-07,0.0,0.0009981160610231152,0.0010004951218914723
temperature,7.734305673924038e-06,7.415549746130888e-06,0.2969553322978541,-6.799904754057644e-06,2.226851610190572e-05
humidity,-6.279531055337671e-07,1.8425014686479889e-06,0.7332424621208842,-4.2391896255459805e-06,2.9832834144784466e-06
rainfall,-8.658397415080502e-06,0.00011248426813268382,0.9386439926495964,-0.00022912351178248731,0.0002118067169523263
sin_hour,-4.600169585463998e-06,3.821566642385335e-05,0.9041869497240308,-7.950149942141317e-05,7.030116025048517e-05
cos_hour,5.417604609585098e-05,4.789206219324303e-05,0.25796613036881855,-3.969067094825771e-05,0.00014804276313995968
sin_day_of_week,1.538967248264067e-05,3.9069317419176e-05,0.6936497991173856,-6.118478255950766e-05,9.1964127524789e-05
cos_day_of_week,-1.613516928918341e-05,2.4652749408553697e-05,0.512791169209455,-6.445367024983977e-05,3.218333167147296e-05
is_weekend,5.1421995928218314e-05,5.801710850603549e-05,0.37544258613225034,-6.228944723076367e-05,0.0001651334390872003
lag_24,-0.0008266052591902799,0.0006859566343462623,0.228187817435329,-0.0021710555574652648,0.0005178450390847052
lag_168,-0.0009105237488124673,0.0006356725752394662,0.15203551963943882,-0.002156419102241649,0.0003353716046167141
rolling_mean_24,-0.000603655929283464,0.002915675570990264,0.8359801038873144,-0.0063182750390276396,0.005110963180460711
rolling_mean_168,0.0006805927821597644,0.004211770084522463,0.871626329124885,-0.007574324894667481,0.00893551045898701
ar.L1,-0.23852452285621506,0.0028220682249048413,0.0,-0.24405567493894342,-0.2329933707734867
ar.L2,-0.04720933190990268,0.003118511829280668,9.036293368160122e-52,-0.05332150278065491,-0.041097161039150454
ar.L3,0.021154199824010053,0.0035733097774722955,3.2182881849241303e-09,0.01415064135455952,0.028157758293460587
ar.S.L24,0.0551252664613032,0.013795535848202612,6.445515407664156e-05,0.028086513051394858,0.08216401987121155
ar.S.L48,0.2382393044978164,0.0231460608335005,7.588339670379007e-25,0.19287385888018227,0.28360475011545055
ma.S.L24,0.023984012235188874,0.014063010054003783,0.08810719397098053,-0.0035789809848832226,0.051547005455260975
ma.S.L48,-0.18924026566224816,0.024722044408035944,1.937376749401463e-14,-0.23769458232619844,-0.14078594899829788
sigma2,2.7872886024992687e-06,7.118250532624146e-09,0.0,2.7733370878223925e-06,2.801240117176145e-06
