timestamp,device,property,value,temp_C,humidity,pressure
2026-01-13 01:59:55,Electric_Fan,NO_DATA,,,,
2026-01-13 02:04:16,Refrigerator,NO_DATA,,,,
2026-01-13 02:02:39,Aircon,NO_DATA,,,,
2026-01-13 02:04:17,Refrigerator,NO_DATA,,,,
2026-01-13 02:04:16,Electric_Fan,NO_DATA,,,,
2026-01-13 02:02:39,Refrigerator,NO_DATA,,,,
2026-01-13 02:04:17,Electric_Fan,NO_DATA,,,,
2026-01-13 02:04:13,Refrigerator,NO_DATA,,,,
2026-01-13 02:02:39,Electric_Fan,NO_DATA,,,,
2026-01-13 02:08:04,Aircon,NO_DATA,,,,
2026-01-13 02:08:33,Aircon,NO_DATA,,27.94,74,1014
2026-01-13 01:59:40,Aircon,NO_DATA,,,,
2026-01-13 02:04:13,Electric_Fan,NO_DATA,,,,
2026-01-13 02:08:04,Refrigerator,NO_DATA,,,,
2026-01-13 01:59:40,Refrigerator,NO_DATA,,,,
2026-01-13 02:08:04,Electric_Fan,NO_DATA,,,,
2026-01-13 02:08:33,Refrigerator,NO_DATA,,27.94,74,1014
2026-01-13 01:59:40,Electric_Fan,NO_DATA,,,,
2026-01-13 02:08:33,Electric_Fan,NO_DATA,,27.94,74,1014
2026-01-13 02:09:28,Aircon,NO_DATA,,27.94,74,1014
2026-01-13 02:09:28,Refrigerator,NO_DATA,,27.94,74,1014
2026-01-13 02:09:28,Electric_Fan,NO_DATA,,27.94,74,1014
2026-01-13 02:11:45,Aircon,NO_DATA,,27.94,74,1014
2026-01-13 02:11:45,Refrigerator,NO_DATA,,27.94,74,1014
2026-01-13 02:11:45,Electric_Fan,NO_DATA,,27.94,74,1014
2026-01-13 02:17:18,Aircon,NO_DATA,,,,
2026-01-13 02:19:11,Aircon,NO_DATA,,,,
2026-01-13 02:19:07,Aircon,NO_DATA,,,,
2026-01-13 02:18:43,Aircon,NO_DATA,,,,
2026-01-13 02:17:18,Refrigerator,NO_DATA,,,,
2026-01-13 02:19:18,Aircon,NO_DATA,,,,
2026-01-13 02:19:11,Refrigerator,NO_DATA,,,,
2026-01-13 02:18:43,Refrigerator,NO_DATA,,,,
2026-01-13 02:19:07,Refrigerator,NO_DATA,,,,
2026-01-13 02:17:18,Electric_Fan,NO_DATA,,,,
2026-01-13 02:19:18,Refrigerator,NO_DATA,,,,
