timestamp,device,property,value,temp_C,humidity,rainfall
2026-01-05 00:15:31,Aircon,NO_DATA,,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,switch_1,True,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,countdown_1,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,add_ele,25,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,cur_current,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,cur_power,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,cur_voltage,2277,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,voltage_coe,559,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,electric_coe,30058,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,power_coe,15968,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,electricity_coe,2610,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,fault,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,relay_status,last,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,overcharge_switch,False,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,light_mode,relay,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,child_lock,False,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,cycle_time,,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,random_time,,24.65,77.0,1015.0
2026-01-05 00:15:31,Refrigerator,switch_inching,,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,switch_1,True,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,countdown_1,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,add_ele,16,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,cur_current,153,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,cur_power,324,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,cur_voltage,2290,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,voltage_coe,558,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,electric_coe,29647,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,power_coe,15912,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,electricity_coe,2620,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,fault,0,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,relay_status,last,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,overcharge_switch,False,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,light_mode,relay,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,child_lock,False,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,cycle_time,,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,random_time,,24.65,77.0,1015.0
2026-01-05 00:15:31,Electric_Fan,switch_inching,,24.65,77.0,1015.0
2026-01-05 00:19:18,Aircon,switch_1,True,24.65,77.0,1015.0
2026-01-05 00:19:18,Aircon,countdown_1,0,24.65,77.0,1015.0
2026-01-05 00:19:18,Aircon,add_ele,13,24.65,77.0,1015.0
