device_id,timestamp,kWh,temperature,humidity,pressure,hour_of_day,day_of_week,is_weekend,is_holiday,lag_24,lag_168,rolling_mean_24,rolling_mean_168
a3c772d3fde52dbae832bi,2026-01-09 16:00:00,0.07572068131981856,25.58,84.5,1013.0,16,5,0,0,0.0177724083333331,0.0148578333333332,0.0253647718749997,0.0238425276785712
a3c772d3fde52dbae832bi,2026-01-09 17:00:00,0.03958089215003457,27.59,77.5,1014.0,17,5,0,0,0.0135242666666664,0.0073685333333331,0.0254258163194441,0.0238878895833331
a3c772d3fde52dbae832bi,2026-01-09 18:00:00,0.021744052864889667,28.835,74.25,1013.0,18,5,0,0,0.0165999999999996,0.0072627749999997,0.0250772538194441,0.023893673660714
a3c772d3fde52dbae832bi,2026-01-09 19:00:00,0.04199414005983183,30.08,71.0,1012.0,19,5,0,0,0.0110981166666665,0.0071587416666664,0.0252774670138886,0.0239457242063489
a3c772d3fde52dbae832bi,2026-01-09 20:00:00,0.032030173300633534,29.56,71.5,1011.5,20,5,0,0,0.0081059833333331,0.0084893166666664,0.0254451288194442,0.0239673941468251
a3c772d3fde52dbae832bi,2026-01-09 21:00:00,0.04964335343493063,29.1675,73.5,1010.5,21,5,0,0,0.0165999999999996,0.0211999999999998,0.0255367954861108,0.0239531084325394
a3c772d3fde52dbae832bi,2026-01-09 22:00:00,0.04964335343493063,28.88,76.0,1010.0,22,5,0,0,0.0165999999999996,0.0211999999999998,0.0256284621527775,0.0239388227182537
a3c772d3fde52dbae832bi,2026-01-09 23:00:00,0.04964335343493063,27.72,81.33333333333333,1010.5,23,5,0,0,0.0165999999999996,0.0211999999999998,0.0257201288194442,0.023924537003968
a3c772d3fde52dbae832bi,2026-01-10 00:00:00,0.016135780316556513,26.56,86.66666666666667,1011.0,0,6,1,0,0.0165999999999996,0.0176666666666664,0.0258117954861108,0.023931283035714
a3c772d3fde52dbae832bi,2026-01-10 01:00:00,0.016135780316556513,25.664,91.6,1012.0,1,6,1,0,0.0165999999999996,0.0176666666666664,0.0259034621527775,0.0239380290674601
a3c772d3fde52dbae832bi,2026-01-10 02:00:00,0.016135780316556513,25.024,91.2,1012.0,2,6,1,0,0.0165999999999996,0.0211999999999998,0.0259951288194442,0.0239237433531743
a3c772d3fde52dbae832bi,2026-01-10 03:00:00,0.016135780316556513,25.07,92.4,1012.6,3,6,1,0,0.0165999999999996,0.0211999999999998,0.0260867954861109,0.0239094576388886
a3c772d3fde52dbae832bi,2026-01-10 04:00:00,0.016135780316556513,25.13871794871795,92.01025641025642,1012.7846153846154,4,6,1,0,0.0165999999999996,0.0211999999999998,0.0261784621527775,0.0238951719246029
a3c772d3fde52dbae832bi,2026-01-10 05:00:00,0.0026823517536958366,25.207435897435897,91.62051282051284,1012.9692307692308,5,6,1,0,0.0049389083333332,0.0033252416666666,0.0261028927083331,0.0238939814484124
a3c772d3fde52dbae832bi,2026-01-10 06:00:00,0.014437017380836045,25.276153846153846,91.23076923076924,1013.1538461538462,6,6,1,0,0.0323593333333331,0.0234747083333331,0.0254554517361109,0.0238543745535712
a3c772d3fde52dbae832bi,2026-01-10 07:00:00,0.024185131493194557,25.344871794871796,90.84102564102564,1013.3384615384616,7,6,1,0,0.0425704333333329,0.0423956166666663,0.0248557836805553,0.0237697482638886
a3c772d3fde52dbae832bi,2026-01-10 08:00:00,0.031073006887205813,25.413589743589743,90.45128205128204,1013.5230769230768,8,6,1,0,0.0425960999999996,0.0427414249999995,0.0245894274305553,0.0237308323412696
a3c772d3fde52dbae832bi,2026-01-10 09:00:00,0.029326201382165257,25.482307692307693,90.06153846153846,1013.7076923076924,9,6,1,0,0.0425004999999999,0.0427499249999998,0.024242253472222,0.0236797513888886
a3c772d3fde52dbae832bi,2026-01-10 10:00:00,0.02412780512828442,25.55102564102564,89.67179487179487,1013.8923076923076,10,6,1,0,0.0384078,0.042201375,0.0238132454861109,0.0235958837301585
a3c772d3fde52dbae832bi,2026-01-10 11:00:00,0.022280980672912638,25.619743589743592,89.28205128205128,1014.0769230769232,11,6,1,0,0.0382601833333332,0.0421693999999999,0.023300731597222,0.0234993983134918
a3c772d3fde52dbae832bi,2026-01-10 12:00:00,0.027359560175081427,25.68846153846154,88.8923076923077,1014.2615384615384,12,6,1,0,0.04159665,0.0422819999999998,0.0228957447916664,0.0234374635912696
a3c772d3fde52dbae832bi,2026-01-10 13:00:00,0.020688816881623974,25.75717948717949,88.5025641025641,1014.4461538461538,13,6,1,0,0.0415938,0.042515475,0.0221670364583331,0.0233278762400791
a3c772d3fde52dbae832bi,2026-01-10 14:00:00,0.013313763943072819,25.82589743589744,88.1128205128205,1014.6307692307691,14,6,1,0,0.0318793916666665,0.042634425,0.0214850631944442,0.0231664334325394
a3c772d3fde52dbae832bi,2026-01-10 15:00:00,0.011307741704772912,25.894615384615385,87.72307692307692,1014.8153846153846,15,6,1,0,0.0412475416666665,0.0422630749999999,0.0203153652777775,0.0229932888888886
a3c772d3fde52dbae832bi,2026-01-10 16:00:00,0.022678031015427414,25.963333333333335,87.33333333333333,1015.0,16,6,1,0,0.0286755166666666,0.0307453249999998,0.020221487847222,0.0229675575396823
a3c772d3fde52dbae832bi,2026-01-10 17:00:00,0.011785184853474816,26.905,84.5,1015.0,17,6,1,0,0.0149893333333331,0.0143933333333332,0.0201690600694442,0.0229636154761902
a3c772d3fde52dbae832bi,2026-01-10 18:00:00,0.008969011978447846,28.34,80.0,1015.0,18,6,1,0,0.0082344999999997,0.0157999999999998,0.0202613687499997,0.0229317696924601
a3c772d3fde52dbae832bi,2026-01-10 19:00:00,0.006144249089165419,28.341760714285716,79.96678571428572,1015.0035714285714,19,6,1,0,0.0159032333333332,0.0157999999999998,0.0198970149305553,0.0228803336309521
a3c772d3fde52dbae832bi,2026-01-10 20:00:00,0.0072075869986877135,28.343521428571428,79.93357142857143,1015.0071428571428,20,6,1,0,0.0121298666666664,0.0129887999999998,0.0197415059027775,0.0228530053571426
a3c772d3fde52dbae832bi,2026-01-10 21:00:00,0.017251552359722838,28.345282142857144,79.90035714285715,1015.0107142857142,21,6,1,0,0.0187999999999998,0.0157999999999998,0.0197956725694442,0.0228786005952378
a3c772d3fde52dbae832bi,2026-01-10 22:00:00,0.017251552359722838,28.347042857142856,79.86714285714285,1015.0142857142856,22,6,1,0,0.0187999999999998,0.0157999999999998,0.0198498392361109,0.0229041958333331
