timestamp,voltage_v,current_a,power_w,total_kwh,is_active
2026-01-31 00:00:00,,,,0.57,False
2026-01-31 00:10:00,234.2,0.0,0.0,0.57,False
2026-01-31 00:20:00,234.2,0.0,0.0,0.57,False
2026-01-31 00:30:00,234.2,0.0,0.0,0.17,False
2026-01-31 00:40:00,234.2,0.0,0.0,0.17,False
2026-01-31 00:50:00,231.6,1.099,179.6,0.17,False
2026-01-31 01:00:00,231.6,1.099,179.6,0.47,False
2026-01-31 01:10:00,231.6,1.099,179.6,0.47,False
2026-01-31 01:20:00,231.1,0.0,0.0,0.47,False
2026-01-31 01:30:00,231.1,0.0,0.0,0.28,False
2026-01-31 01:40:00,231.1,0.0,0.0,0.28,False
2026-01-31 01:50:00,232.0,1.099,179.7,0.28,False
2026-01-31 02:00:00,232.0,1.099,179.7,0.41,False
2026-01-31 02:10:00,232.0,1.099,179.7,0.41,False
2026-01-31 02:20:00,233.8,0.0,0.0,0.41,False
2026-01-31 02:30:00,233.8,0.0,0.0,0.35,False
2026-01-31 02:40:00,233.8,0.0,0.0,0.35,False
2026-01-31 02:50:00,233.8,0.0,0.0,0.35,False
2026-01-31 03:00:00,232.0,1.106,181.4,0.22,False
2026-01-31 03:10:00,232.0,1.106,181.4,0.22,False
2026-01-31 03:20:00,234.2,0.0,0.0,0.22,False
2026-01-31 03:30:00,234.2,0.0,0.0,0.51,False
2026-01-31 03:40:00,234.2,0.0,0.0,0.51,False
2026-01-31 03:50:00,234.2,0.0,0.0,0.51,False
2026-01-31 04:00:00,233.3,1.122,183.5,0.03,False
2026-01-31 04:10:00,233.3,1.122,183.5,0.03,False
2026-01-31 04:20:00,233.3,1.122,183.5,0.03,False
2026-01-31 04:30:00,232.9,0.0,0.0,0.71,False
2026-01-31 04:40:00,232.9,0.0,0.0,0.71,False
2026-01-31 04:50:00,232.9,0.0,0.0,0.71,False
2026-01-31 05:00:00,232.9,0.0,0.0,0.71,False
2026-01-31 05:10:00,233.8,1.122,184.8,0.01,False
2026-01-31 05:20:00,233.8,1.122,184.8,0.01,False
2026-01-31 05:30:00,233.8,1.122,184.8,0.01,False
2026-01-31 05:40:00,235.5,0.0,0.0,0.72,False
2026-01-31 05:50:00,235.5,0.0,0.0,0.72,False
2026-01-31 06:00:00,235.5,0.0,0.0,0.72,False
2026-01-31 06:10:00,235.5,0.0,0.0,0.72,False
